0,Long,Lat
Bucharest,26.1027202,44.4361414
Belgrade,20.4568089,44.8178788
Budapest,19.0404707,47.4983815
Berlin,13.3888599,52.5170365
Copenhagen,12.5700724,55.6867243
Oslo,10.7391112,59.9132694
London,-0.1276474,51.5073219
Manchester,-2.2441009,53.4791301
Dublin,-6.2602732,53.3497645
Lisbon,-9.1365061,38.7077926
Madrid,-3.7035825,40.4167047
Barcelona,2.1774322,41.3828939
Montpellier,3.8767337,43.6112422
Paris,2.3514992,48.8566101
Brussels,4.351697,50.8465573
Amsterdam,4.89797550561798,52.3745403
Cologne,6.959974,50.938361
Bern,7.4514512,46.9482713
Zurich,8.5423216,47.3723957
Vienna,16.3725042,48.2083537
Rome,12.4829321,41.8933203
Sicily,14.155048,37.587794
Athina,23.7279843,37.9841493
